Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2016-11-27 06:10:01.880;787;0;0;Parking Hala Stulecia
2016-11-27 06:11:32.457;468;0;0;Renoma
2016-11-27 06:15:00.013;262;0;0;Nowy Targ
2016-11-27 06:15:01.617;787;0;0;Parking Hala Stulecia
2016-11-27 06:15:02.050;97;0;0;ul. św. Antoniego
2016-11-27 06:20:00.020;262;0;0;Nowy Targ
2016-11-27 06:20:01.437;97;0;0;ul. św. Antoniego
2016-11-27 06:20:01.737;787;0;0;Parking Hala Stulecia
2016-11-27 06:21:21.120;505;0;0;Renoma
2016-11-27 06:25:00.013;262;0;0;Nowy Targ
2016-11-27 06:25:01.227;787;0;0;Parking Hala Stulecia
2016-11-27 06:25:01.627;97;0;0;ul. św. Antoniego
2016-11-27 06:30:00.013;262;0;0;Nowy Targ
2016-11-27 06:30:01.747;97;0;0;ul. św. Antoniego
2016-11-27 06:30:02.120;787;0;0;Parking Hala Stulecia
2016-11-27 06:31:20.937;501;0;0;Renoma
2016-11-27 06:35:00.013;263;0;1;Nowy Targ
2016-11-27 06:35:01.427;787;0;0;Parking Hala Stulecia
2016-11-27 06:35:01.877;97;0;0;ul. św. Antoniego
2016-11-27 06:40:00.020;263;0;0;Nowy Targ
2016-11-27 06:40:01.377;787;0;0;Parking Hala Stulecia
2016-11-27 06:40:01.997;97;0;0;ul. św. Antoniego
2016-11-27 06:41:20.440;511;0;0;Renoma
2016-11-27 06:45:00.013;263;0;0;Nowy Targ
2016-11-27 06:45:01.367;787;0;0;Parking Hala Stulecia
2016-11-27 06:45:02.153;97;0;0;ul. św. Antoniego
2016-11-27 06:50:00.020;263;0;0;Nowy Targ
2016-11-27 06:50:01.547;787;0;0;Parking Hala Stulecia
2016-11-27 06:50:02.097;97;0;0;ul. św. Antoniego
2016-11-27 06:51:19.723;460;0;0;Renoma
2016-11-27 06:55:00.017;263;1;1;Nowy Targ
2016-11-27 06:55:01.437;97;0;0;ul. św. Antoniego
2016-11-27 06:55:01.710;787;0;0;Parking Hala Stulecia
2016-11-27 07:00:00.020;263;0;0;Nowy Targ
2016-11-27 07:00:01.460;97;0;0;ul. św. Antoniego
2016-11-27 07:00:02.170;787;0;0;Parking Hala Stulecia
2016-11-27 07:01:19.600;465;0;0;Renoma
2016-11-27 07:05:00.017;263;0;0;Nowy Targ
2016-11-27 07:05:01.273;97;0;0;ul. św. Antoniego
2016-11-27 07:05:01.973;787;0;0;Parking Hala Stulecia
2016-11-27 07:10:00.017;263;0;0;Nowy Targ
2016-11-27 07:10:01.340;97;0;0;ul. św. Antoniego
2016-11-27 07:10:01.930;787;0;0;Parking Hala Stulecia
2016-11-27 07:11:19.247;512;0;0;Renoma
2016-11-27 07:15:00.013;263;0;0;Nowy Targ
2016-11-27 07:15:01.363;787;0;0;Parking Hala Stulecia
2016-11-27 07:15:01.547;97;0;0;ul. św. Antoniego
2016-11-27 07:20:00.013;263;0;0;Nowy Targ
2016-11-27 07:20:01.390;787;0;0;Parking Hala Stulecia
2016-11-27 07:20:01.987;97;0;0;ul. św. Antoniego
2016-11-27 07:21:18.967;525;0;0;Renoma
2016-11-27 07:25:00.017;263;0;0;Nowy Targ
2016-11-27 07:25:01.273;787;0;0;Parking Hala Stulecia
2016-11-27 07:25:01.983;97;0;0;ul. św. Antoniego
2016-11-27 07:30:00.110;263;0;0;Nowy Targ
2016-11-27 07:30:01.840;97;0;0;ul. św. Antoniego
2016-11-27 07:30:02.220;787;0;0;Parking Hala Stulecia
2016-11-27 07:31:18.417;471;0;0;Renoma
2016-11-27 07:35:00.013;263;0;0;Nowy Targ
2016-11-27 07:35:01.283;787;0;0;Parking Hala Stulecia
2016-11-27 07:35:01.787;97;0;0;ul. św. Antoniego
2016-11-27 07:40:00.020;263;0;0;Nowy Targ
2016-11-27 07:40:01.260;787;0;0;Parking Hala Stulecia
2016-11-27 07:40:01.707;97;0;0;ul. św. Antoniego
2016-11-27 07:41:18.030;508;0;0;Renoma
2016-11-27 07:45:00.017;264;0;1;Nowy Targ
2016-11-27 07:45:01.560;101;0;2;ul. św. Antoniego
2016-11-27 07:45:01.990;787;0;0;Parking Hala Stulecia
2016-11-27 07:50:00.017;264;1;1;Nowy Targ
2016-11-27 07:50:01.530;101;0;0;ul. św. Antoniego
2016-11-27 07:50:01.990;787;0;0;Parking Hala Stulecia
2016-11-27 07:51:17.763;540;0;0;Renoma
2016-11-27 07:55:00.017;265;0;1;Nowy Targ
2016-11-27 07:55:01.480;787;1;1;Parking Hala Stulecia
2016-11-27 07:55:01.763;101;0;0;ul. św. Antoniego
2016-11-27 08:00:00.013;266;0;1;Nowy Targ
2016-11-27 08:00:01.237;101;0;0;ul. św. Antoniego
2016-11-27 08:00:01.643;787;0;0;Parking Hala Stulecia
2016-11-27 08:01:17.390;458;0;0;Renoma
2016-11-27 08:05:00.013;266;0;0;Nowy Targ
2016-11-27 08:05:01.457;99;1;0;ul. św. Antoniego
2016-11-27 08:05:02.193;787;0;0;Parking Hala Stulecia
2016-11-27 08:10:00.017;266;0;0;Nowy Targ
2016-11-27 08:10:01.270;787;0;0;Parking Hala Stulecia
2016-11-27 08:10:01.577;99;1;1;ul. św. Antoniego
2016-11-27 08:11:17.180;540;0;0;Renoma
2016-11-27 08:15:00.017;266;0;0;Nowy Targ
2016-11-27 08:15:01.357;787;0;0;Parking Hala Stulecia
2016-11-27 08:15:01.973;99;0;0;ul. św. Antoniego
2016-11-27 08:20:00.023;266;1;1;Nowy Targ
2016-11-27 08:20:01.167;99;0;0;ul. św. Antoniego
2016-11-27 08:20:01.357;787;0;0;Parking Hala Stulecia
2016-11-27 08:21:16.993;523;0;0;Renoma
2016-11-27 08:25:00.017;266;0;0;Nowy Targ
2016-11-27 08:25:01.307;787;0;0;Parking Hala Stulecia
2016-11-27 08:25:01.947;99;0;0;ul. św. Antoniego
2016-11-27 08:30:00.013;266;0;0;Nowy Targ
2016-11-27 08:30:01.367;787;0;0;Parking Hala Stulecia
2016-11-27 08:30:02.107;99;0;0;ul. św. Antoniego
2016-11-27 08:31:16.707;533;0;0;Renoma
2016-11-27 08:35:00.013;267;0;1;Nowy Targ
2016-11-27 08:35:01.240;99;0;0;ul. św. Antoniego
2016-11-27 08:35:01.497;787;0;0;Parking Hala Stulecia
2016-11-27 08:40:00.017;268;0;1;Nowy Targ
2016-11-27 08:40:01.307;786;1;0;Parking Hala Stulecia
2016-11-27 08:40:01.470;99;0;0;ul. św. Antoniego
2016-11-27 08:41:19.667;462;0;0;Renoma
2016-11-27 08:45:00.017;268;0;0;Nowy Targ
2016-11-27 08:45:01.227;99;0;0;ul. św. Antoniego
2016-11-27 08:45:01.487;788;1;0;Parking Hala Stulecia
2016-11-27 08:50:00.030;269;0;1;Nowy Targ
2016-11-27 08:50:01.487;788;0;0;Parking Hala Stulecia
2016-11-27 08:50:02.127;99;0;0;ul. św. Antoniego
2016-11-27 08:51:19.173;532;0;0;Renoma
